k  a            b            c
0  7.079633e-02 5.707963e-01 5.707963e-01
1  1.792037e-01 7.129629e-02 7.129629e-02
2  5.420367e-02 1.336011e-02 1.210496e-04
3  8.296327e-03 2.516507e-03 5.913048e-13
4  2.295367e-02 4.740944e-04 0
5  7.328673e-03 8.931705e-05 0 
6  4.838268e-04 1.682689e-05 0
7  3.422423e-03 3.170105e-06 0
8  1.469298e-03 5.972322e-07 0
9  4.927357e-04 1.125156e-07 0
10 4.454455e-06 2.119739e-08 0
11 2.396862e-04 3.993485e-09 0
12 1.176159e-04 7.523528e-10 0
13 5.658070e-05 1.417397e-10 0
14 2.606312e-05 2.670308e-11 0
15 1.080433e-05 5.030865e-12 0
16 3.174939e-06 9.476864e-13 0
17 6.397578e-07 1.785239e-13 0
18 1.267591e-06 3.352874e-14 0
19 3.139165e-07 6.439294e-15 0
