n    matvec0  matvec1  matvec2_row  matvec2_col
127   0.365    0.720      0.058        0.084
128   2.424    0.649      0.128        0.084
129   2.293    0.651      0.130        0.046
255   1.538    0.657      0.144        0.061
256   1.440    0.617      0.094        0.072
257   1.088    0.522      0.057        0.051
383   1.606    0.378      0.167        0.060
384   2.076    0.526      0.147        0.076
385   1.975    0.445      0.080        0.060
511   1.174    0.239      0.089        0.056
512   0.690    0.320      0.135        0.030
513   0.396    0.106      0.188        0.046
639   0.363    0.278      0.185        0.048
640   1.171    0.194      0.055        0.045
641   0.858    0.229      0.198        0.045
767   0.282    0.133      0.107        0.055
768   1.199    0.253      0.215        0.073
769   1.445    0.365      0.262        0.074
895   1.364    0.367      0.256        0.073
896   1.432    0.411      0.129        0.075
897   1.236    0.356      0.217        0.072
1023   1.306    0.336      0.227        0.072
1024   1.442    0.221      0.125        0.072
1025   1.346    0.372      0.250        0.065
