k u d
1 1.010000e+00 2.673330e-01
2 -1.002615e+00 6.977142e-02
3 1.000952e+00 2.540189e-02
4 -1.000369e+00 9.829283e-03
5 1.000146e+00 3.882123e-03
6 -1.000058e+00 1.545116e-03
7 1.000023e+00 6.168217e-04
8 -1.000009e+00 2.465335e-04
9 1.000004e+00 9.858222e-05
10 -1.000001e+00 3.942790e-05
11 1.000001e+00 1.577036e-05
12 -1.000000e+00 6.308018e-06
13 1.000000e+00 2.523187e-06
14 -1.000000e+00 1.009271e-06
15 1.000000e+00 4.037080e-07
16 -1.000000e+00 1.614831e-07
17 1.000000e+00 6.459324e-08
18 -1.000000e+00 2.583729e-08
19 1.000000e+00 1.033492e-08
20 -1.000000e+00 4.133980e-09
21 1.000000e+00 1.653591e-09
